Age;Traditional;Least_objectionable;Londeree_and_Moeschberger;Miller_et_al_from_Indiana_University;Tanaka_method;Lund_and_Sweden_-_men;Oakland_University_2007_nonlinear;Martha_Gulati_et_al_-_women;Lund_and_Sweden_-women
18;202;193.47;193.502;201.7;195.4;192.539283018565;189.232;190.16;186.956904952213
19;201;192.785;192.791;200.85;194.7;192.186000360237;188.973;189.28;186.809293603672
20;200;192.1;192.08;200.0;194.0;191.822224722414;188.7;188.4;186.655091031514
21;199;191.415;191.369;199.15;193.3;191.447688602094;188.413;187.52;186.494014756349
22;198;190.73;190.658;198.3;192.6;191.062120502149;188.112;186.64;186.325771290632
23;197;190.045;189.947;197.45;191.9;190.665245064276;187.797;185.76;186.15005581256
24;196;189.36;189.236;196.6;191.2;190.256783218195;187.468;184.88;185.966551840468
25;195;188.675;188.525;195.75;190.5;189.836452347911;187.125;184.0;185.774930908943
26;194;187.99;187.814;194.9;189.8;189.403966475869;186.768;183.12;185.574852248063
27;193;187.305;187.103;194.05;189.1;188.959036465837;186.397;182.24;185.365962467309
28;192;186.62;186.392;193.2;188.4;188.501370245358;186.012;181.36;185.147895245824
29;191;185.935;185.681;192.35;187.7;188.030673048595;185.613;180.48;184.920271030932
30;190;185.25;184.97;191.5;187.0;187.546647680407;185.2;179.6;184.682696746945
31;189;184.565;184.259;190.65;186.3;187.048994802461;184.773;178.72;184.434765516532
32;188;183.88;183.548;189.8;185.6;186.537413242184;184.332;177.84;184.176056397098
33;187;183.195;182.837;188.95;184.9;186.011600325329;183.877;176.96;183.906134134855
34;186;182.51;182.126;188.1;184.2;185.471252232905;183.408;176.08;183.624548939495
35;185;181.825;181.415;187.25;183.5;184.916064383176;182.925;175.2;183.330836282597
36;184;181.14;180.704;186.4;182.8;184.345731839406;182.428;174.32;183.024516723171
37;183;180.455;179.993;185.55;182.1;183.759949743963;181.917;173.44;182.705095763986
38;182;179.77;179.282;184.7;181.4;183.158413779352;181.392;172.56;182.372063742594
39;181;179.085;178.571;183.85;180.7;182.540820656658;180.853;171.68;182.024895761254
40;180;178.4;177.86;183.0;180.0;181.906868631829;180.3;170.8;181.663051660211
41;179;177.715;177.149;182.15;179.3;181.256258050131;179.733;169.92;181.285976039085
42;178;177.03;176.438;181.3;178.6;180.588691919017;179.152;169.04;180.893098331418
43;177;176.345;175.727;180.45;177.9;179.903876509531;178.557;168.16;180.483832937683
44;176;175.66;175.016;179.6;177.2;179.201521986286;177.948;167.28;180.05757942237
45;175;174.975;174.305;178.75;176.5;178.481343065903;177.325;166.4;179.613722781
46;174;174.29;173.594;177.9;175.8;177.743059703654;176.688;165.52;179.151633783215
47;173;173.605;172.883;177.05;175.1;176.986397807948;176.037;164.64;178.670669398307
48;172;172.92;172.172;176.2;174.4;176.21108998208;175.372;163.76;178.170173309785
49;171;172.235;171.461;175.35;173.7;175.416876292551;174.693;162.88;177.649476525766
50;170;171.55;170.75;174.5;173.0;174.603505063045;174.0;162.0;177.107898092143
51;169;170.865;170.039;173.65;172.3;173.770733692989;173.293;161.12;176.544745915599
52;168;170.18;169.328;172.8;171.6;172.91832949939;172.572;160.24;175.959317703618
53;167;169.495;168.617;171.95;170.9;172.046070580477;171.837;159.36;175.350902028646
54;166;168.81;167.906;171.1;170.2;171.153746699415;171.088;158.48;174.71877952351
55;165;168.125;167.195;170.25;169.5;170.241160186158;170.325;157.6;174.062224215095
56;164;167.44;166.484;169.4;168.8;169.308126855272;169.548;156.72;173.380505003055
57;163;166.755;165.773;168.55;168.1;168.35447693732;168.757;155.84;172.672887290028
58;162;166.07;165.062;167.7;167.4;167.380056021158;167.952;154.96;171.938634769443
59;161;165.385;164.351;166.85;166.7;166.384726004246;167.133;154.08;171.177011376468
60;160;164.7;163.64;166.0;166.0;165.368366047849;166.3;153.2;170.387283406988
61;159;164.015;162.929;165.15;165.3;164.330873533743;165.453;152.32;169.568721808761
62;158;163.33;162.218;164.3;164.6;163.272165018807;164.592;151.44;168.720604647919
63;157;162.645;161.507;163.45;163.9;162.19217718366;163.717;150.56;167.842219752948
64;156;161.96;160.796;162.6;163.2;161.090867771261;162.828;149.68;166.932867536983
65;155;161.275;160.085;161.75;162.5;159.968216511189;161.925;148.8;165.991863997898
66;154;160.59;159.374;160.9;161.8;158.824226025124;161.008;147.92;165.018543894033
67;153;159.905;158.663;160.05;161.1;157.65892270884;160.077;147.04;164.012264091657
68;152;159.22;157.952;159.2;160.4;156.472357585896;159.132;146.16;162.972407078338
69;151;158.535;157.241;158.35;159.7;155.264607128048;158.173;145.28;161.898384634267
70;150;157.85;156.53;157.5;159.0;154.035774037275;157.2;144.4;160.7896416513
71;149;157.165;155.819;156.65;158.3;152.785987984265;156.213;143.52;159.645660087083
72;148;156.48;155.108;155.8;157.6;151.515406298105;155.212;142.64;158.465963039029
73;147;155.795;154.397;154.95;156.9;150.224214601936;154.197;141.76;157.250118920246
74;146;155.11;153.686;154.1;156.2;148.912627389314;153.168;140.88;155.997745716742
75;145;154.425;152.975;153.25;155.5;147.580888536103;152.125;140.0;154.708515302387
76;144;153.74;152.264;152.4;154.8;146.22927174278;151.068;139.12;153.382157785253
77;143;153.055;151.553;151.55;154.1;144.858080902223;149.997;138.24;152.018465856106
78;142;152.37;150.842;150.7;153.4;143.46765038818;148.912;137.36;150.617299107052
79;141;151.685;150.131;149.85;152.7;142.058345259869;147.813;136.48;149.178588285654
80;140;151.0;149.42;149.0;152.0;140.630561378449;146.7;135.6;147.702339447359
81;139;150.315;148.709;148.15;151.3;139.184725431372;145.573;134.72;146.188637966804
82;138;149.63;147.998;147.3;150.6;137.721294861053;144.432;133.84;144.637652366626
83;137;148.945;147.287;146.45;149.9;136.240757694643;143.277;132.96;143.049637920757
84;136;148.26;146.576;145.6;149.2;134.743632272198;142.108;132.08;141.424939988061
85;135;147.575;145.865;144.75;148.5;133.230466870992;140.925;131.2;139.763997031448
86;134;146.89;145.154;143.9;147.8;131.701839224275;139.728;130.32;138.067343277471
87;133;146.205;144.443;143.05;147.1;130.158355933347;138.517;129.44;136.33561097191
88;132;145.52;143.732;142.2;146.4;128.600651772405;137.292;128.56;134.569532187952
89;131;144.835;143.021;141.35;145.7;127.029388886273;136.053;127.68;132.76994014542
90;130;144.15;142.31;140.5;145.0;125.445255881744;134.8;126.8;130.937770002047
